,name,longitude,latitude
191,CREATIVITY (PARK VALE) KINDERGARTEN,114.021,22.363
192,CREATIVITY (TAI LAM) KINDERGARTEN,114.021,22.363
193,CUHK FAA CHAN CHUN HA KINDERGARTEN,114.2268,22.4231
194,CUHK FAA SHUN LUNG YAN CHAK KINDERGARTEN,114.2268,22.4231
195,CUHKFAA THOMAS CHEUNG KINDERGARTEN,114.1725,22.3608
196,CWBC PRESCH EDU LUI MING CHOI KG(SIU S W,114.1241,22.2814
197,CWBC PRE-SCH EDUCATON LUI MING CHOI KG,114.1017,22.3624
198,DAVID (EXODUS) KINDERGARTEN,114.165,22.3132
199,DAWNING VIEWS ELEMENTI ENGLISH KG,114.1447,22.4874
200,DEBORAH AC KG (WHAMPOA GARDEN),114.1907,22.3049
201,DEBORAH ENGLISH KG (TSEUNG KWAN O),114.2617,22.3103
202,DEBORAH INTERNATIONAL PRE-SCHOOL,114.2617,22.3103
203,DEBORAH INT'L PRE-SCHOOL (BAUHINIA GARD),114.2617,22.3103
204,DEBORAH INT'L PRE-SCHOOL (SITE 7),114.2617,22.3103
205,DEBORAH INT'L PRE-SCHOOL (TSEUNG KWAN O),114.2617,22.3103
206,DELIA ENGLISH PRIMARY SCHOOL & KG,114.1056,22.3607
207,DIAMOND HILL BAPT CH BRIGHT BLOSSOMS KG,114.1762,22.3251
208,DIAMOND HILL LING LIANG KINDERGARTEN,114.1835,22.2772
209,DISCOVERY BAY INTERNATIONAL SCHOOL,114.0123,22.3014
210,DISCOVERY MIND KINDERGARTEN,114.1766,22.3282
211,DISCOVERY MIND KINDERGARTEN (BRANCH),114.1766,22.3282
212,DISCOVERY MIND KINDERGARTEN (TUNG CHUNG),114.1766,22.3282
213,DISCOVERY MONTESSORI ACADEMY,114.1118,22.3762
214,DISCOVERY MONTESSORI SCHOOL,114.0123,22.3014
215,DISCOVERY MONTESSORI SCHOOL (CENTRAL),114.0123,22.3014
216,DOMINIC SAVIO KG (OLYMPIC BR),114.1875,22.2737
217,DOMINIC SAVIO KINDERGARTEN,114.2396,22.2756
218,ECFB CREATIVITY KINDERGARTEN,114.021,22.363
219,EDUHK ECLC (KG SECTION),N,N
220,ELCHK AMAZING GRACE NURSERY SCHOOL,114.1982,22.2892
221,ELCHK CHUNG ON NURSERY SCHOOL,114.0302,22.2054
222,ELCHK GRACE NURSERY SCHOOL,114.1982,22.2892
223,ELCHK HING WAH NURSERY SCHOOL,114.1982,22.2892
224,ELCHK KIN MING NURSERY SCHOOL,114.1982,22.2892
225,ELCHK LING KUNG NURSERY SCHOOL,114.0057,22.4589
226,ELCHK LING ON NURSERY SCHOOL,114.2166,22.2836
227,ELCHK SHATIN LUTHERAN KINDERGARTEN,114.1855,22.3727
228,ELCHK TSEUNG KWAN O KINDERGARTEN,114.2617,22.3103
229,ELITE KIDS ANGLO-CHINESE KINDERGARTEN,114.2382,22.425
230,EMMANUEL CHURCH SHATIN NURSERY SCHOOL,114.03,22.2096
231,ENDEAVOURERS CHAN CHENG KIT WAN KG,114.1982,22.2892
232,EPOCH ANGLO-CHINESE KINDERGARTEN,114.2251,22.4036
233,EPWORTH VILLAGE METHODIST CHURCH KG,114.2332,22.2683
234,ESF ABACUS INTERNATIONAL KG,114.2751,22.3161
235,ESF INTERNATIONAL KG (HILLSIDE),114.2751,22.3161
236,ESF INTERNATIONAL KG (TUNG CHUNG),114.2751,22.3161
237,ESF INTERNATIONAL KG (WU KAI SHA),114.2751,22.3161
238,ESF INTERNATIONAL KINDERGARTEN(TSING YI),114.2751,22.3161
239,ETONHOUSE INTERNATIONAL PRE-SCHOOL (TP),114.1917,22.2612
240,EVANGELICAL LU CH OF HK CHEUNG WAH KG,114.1982,22.2892
241,EVANGELICAL LU CH OF HK NAM CHEONG KG,114.1675,22.3389
242,EXCEL LONDON HOUSE INTERNATIONAL KG,114.1714,22.3034
243,EYE LEVEL MATH & ENG WORKSHOP EDU CTRTKO,113.979,22.3908
244,FAIRCHILD KINDERGARTEN,114.165,22.3132
245,FAITH LUTHERAN CHURCH KINDERGARTEN,114.1826,22.3402
